Trait,Original code,New code,Original_name,New_name,Category,Category2,Notes
EA045,3,4,Differentiated but equal,Differentiated but equal,"Labour, Gender, Economy","Labour, Gender",All codes indicating a pattern of both sexes being equally involved in the amount of labour invested in weaving working were lumped.
EA045,4,4,Equal participation,Equal participation,"Labour, Gender, Economy","Labour, Gender",
EA045,5,5,"Both, females more","Both, females more","Labour, Gender, Economy","Labour, Gender",
EA045,6,6,Females alone,Females alone,"Labour, Gender, Economy","Labour, Gender",
EA045,7,NA,Sex irrelevant,Sex irrelevant,"Labour, Gender, Economy","Labour, Gender",Industrial labour dominates. Excluded from analyses.
EA045,8,NA,"Activity present, sex diff. unspecified","Activity present, sex diff. unspecified","Labour, Gender, Economy","Labour, Gender",No specified sex differences. Excluded from analyses.
EA045,9,NA,Activity is absent,Activity is absent,"Labour, Gender, Economy","Labour, Gender",Absence of weaving working. Excluded from analyses.
EA046,NA,NA,Missing data,Missing data,"Labour, Gender, Economy","Labour, Gender",Do societies share the patterns of un-industrialized labour division between sexes?
EA046,1,1,Males alone,Males alone,"Labour, Gender, Economy","Labour, Gender",
EA046,2,2,"Both, males more","Both, males more","Labour, Gender, Economy","Labour, Gender",
EA046,3,4,Differentiated but equal,Differentiated but equal,"Labour, Gender, Economy","Labour, Gender",All codes indicating a pattern of both sexes being equally involved in the amount of labour invested in leather working were lumped.
EA046,4,4,Equal participation,Equal participation,"Labour, Gender, Economy","Labour, Gender",
EA046,5,5,"Both, females more","Both, females more","Labour, Gender, Economy","Labour, Gender",
EA046,6,6,Females alone,Females alone,"Labour, Gender, Economy","Labour, Gender",
EA046,7,NA,Sex irrelevant,Sex irrelevant,"Labour, Gender, Economy","Labour, Gender",Industrial labour dominates. Excluded from analyses.
EA046,8,NA,"Activity present, sex diff. unspecified","Activity present, sex diff. unspecified","Labour, Gender, Economy","Labour, Gender",No specified sex differences. Excluded from analyses.
EA046,9,NA,Activity is absent,Activity is absent,"Labour, Gender, Economy","Labour, Gender",Absence of leather working. Excluded from analyses.
EA047,NA,NA,Missing data,Missing data,"Labour, Gender, Economy","Labour, Gender",Do societies share the patterns of un-industrialized labour division between sexes?
EA047,1,1,Males alone,Males alone,"Labour, Gender, Economy","Labour, Gender",
EA047,2,2,"Both, males more","Both, males more","Labour, Gender, Economy","Labour, Gender",
EA047,3,4,Differentiated but equal,Differentiated but equal,"Labour, Gender, Economy","Labour, Gender",All codes indicating a pattern of both sexes being equally involved in the amount of labour invested in  pottery making were lumped.
EA047,4,4,Equal participation,Equal participation,"Labour, Gender, Economy","Labour, Gender",
EA047,5,5,"Both, females more","Both, females more","Labour, Gender, Economy","Labour, Gender",
EA047,6,6,Females alone,Females alone,"Labour, Gender, Economy","Labour, Gender",
EA047,7,NA,Sex irrelevant,Sex irrelevant,"Labour, Gender, Economy","Labour, Gender",Industrial labour dominates. Excluded from analyses.
EA047,8,NA,"Activity present, sex diff. unspecified","Activity present, sex diff. unspecified","Labour, Gender, Economy","Labour, Gender",No specified sex differences. Excluded from analyses.
EA047,9,NA,Activity is absent,Activity is absent,"Labour, Gender, Economy","Labour, Gender",Absence of  pottery making. Excluded from analyses.
EA048,NA,NA,Missing data,Missing data,"Labour, Gender, Economy","Labour, Gender",Do societies share the patterns of un-industrialized labour division between sexes?
EA048,1,1,Males alone,Males alone,"Labour, Gender, Economy","Labour, Gender",
EA048,2,2,"Both, males more","Both, males more","Labour, Gender, Economy","Labour, Gender",
EA048,3,4,Differentiated but equal,Differentiated but equal,"Labour, Gender, Economy","Labour, Gender",All codes indicating a pattern of both sexes being equally involved in the amount of labour invested in boat building were lumped.
EA048,4,4,Equal participation,Equal participation,"Labour, Gender, Economy","Labour, Gender",
EA048,5,5,"Both, females more","Both, females more","Labour, Gender, Economy","Labour, Gender",
EA048,6,6,Females alone,Females alone,"Labour, Gender, Economy","Labour, Gender",
EA048,7,NA,Sex irrelevant,Sex irrelevant,"Labour, Gender, Economy","Labour, Gender",Industrial labour dominates. Excluded from analyses.
EA048,8,NA,"Activity present, sex diff. unspecified","Activity present, sex diff. unspecified","Labour, Gender, Economy","Labour, Gender",No specified sex differences. Excluded from analyses.
EA048,9,NA,Activity is absent,Activity is absent,"Labour, Gender, Economy","Labour, Gender",Absence of boat building. Excluded from analyses.
EA049,NA,NA,Missing data,Missing data,"Labour, Gender, Economy","Labour, Gender",Do societies share the patterns of un-industrialized labour division between sexes?
EA049,1,1,Males alone,Males alone,"Labour, Gender, Economy","Labour, Gender",
EA049,2,2,"Both, males more","Both, males more","Labour, Gender, Economy","Labour, Gender",
EA049,3,4,Differentiated but equal,Differentiated but equal,"Labour, Gender, Economy","Labour, Gender",All codes indicating a pattern of both sexes being equally involved in the amount of labour invested in house construction were lumped.
EA049,4,4,Equal participation,Equal participation,"Labour, Gender, Economy","Labour, Gender",
EA049,5,5,"Both, females more","Both, females more","Labour, Gender, Economy","Labour, Gender",
EA049,6,6,Females alone,Females alone,"Labour, Gender, Economy","Labour, Gender",
EA049,7,NA,Sex irrelevant,Sex irrelevant,"Labour, Gender, Economy","Labour, Gender",Industrial labour dominates. Excluded from analyses.
EA049,8,NA,"Activity present, sex diff. unspecified","Activity present, sex diff. unspecified","Labour, Gender, Economy","Labour, Gender",No specified sex differences. Excluded from analyses.
EA049,9,NA,Activity is absent,Activity is absent,"Labour, Gender, Economy","Labour, Gender",Absence of house construction Excluded from analyses.
EA050,NA,NA,Missing data,Missing data,"Labour, Gender, Economy","Labour, Gender",Do societies share the patterns of un-industrialized labour division between sexes?
EA050,1,1,Males alone,Males alone,"Labour, Gender, Economy","Labour, Gender",
EA050,2,2,"Both, males more","Both, males more","Labour, Gender, Economy","Labour, Gender",
EA050,3,4,Differentiated but equal,Differentiated but equal,"Labour, Gender, Economy","Labour, Gender",All codes indicating a pattern of both sexes being equally involved in the amount of labour invested in gathering were lumped.
EA050,4,4,Equal participation,Equal participation,"Labour, Gender, Economy","Labour, Gender",
EA050,5,5,"Both, females more","Both, females more","Labour, Gender, Economy","Labour, Gender",
EA050,6,6,Females alone,Females alone,"Labour, Gender, Economy","Labour, Gender",
EA050,7,NA,Sex irrelevant,Sex irrelevant,"Labour, Gender, Economy","Labour, Gender",Industrial labour dominates. Excluded from analyses.
EA050,8,NA,"Activity present, sex diff. unspecified","Activity present, sex diff. unspecified","Labour, Gender, Economy","Labour, Gender",No specified sex differences. Excluded from analyses.
EA050,9,NA,Activity is absent,Activity is absent,"Labour, Gender, Economy","Labour, Gender",Absence of gathering. Excluded from analyses.
EA051,NA,NA,Missing data,Missing data,"Labour, Gender, Economy","Labour, Gender",Do societies share the patterns of un-industrialized labour division between sexes?
EA051,1,1,Males alone,Males alone,"Labour, Gender, Economy","Labour, Gender",
EA051,2,2,"Both, males more","Both, males more","Labour, Gender, Economy","Labour, Gender",
EA051,3,4,Differentiated but equal,Differentiated but equal,"Labour, Gender, Economy","Labour, Gender",All codes indicating a pattern of both sexes being equally involved in the amount of labour invested in hunting were lumped.
EA051,4,4,Equal participation,Equal participation,"Labour, Gender, Economy","Labour, Gender",
EA051,5,5,"Both, females more","Both, females more","Labour, Gender, Economy","Labour, Gender",
EA051,6,6,Females alone,Females alone,"Labour, Gender, Economy","Labour, Gender",
EA051,7,NA,Sex irrelevant,Sex irrelevant,"Labour, Gender, Economy","Labour, Gender",Industrial labour dominates. Excluded from analyses.
EA051,8,NA,"Activity present, sex diff. unspecified","Activity present, sex diff. unspecified","Labour, Gender, Economy","Labour, Gender",No specified sex differences. Excluded from analyses.
EA051,9,NA,Activity is absent,Activity is absent,"Labour, Gender, Economy","Labour, Gender",Absence of lhunting. Excluded from analyses.
EA052,NA,NA,Missing data,Missing data,"Labour, Gender, Economy","Labour, Gender",Do societies share the patterns of un-industrialized labour division between sexes?
EA052,1,1,Males alone,Males alone,"Labour, Gender, Economy","Labour, Gender",
EA052,2,2,"Both, males more","Both, males more","Labour, Gender, Economy","Labour, Gender",
EA052,3,4,Differentiated but equal,Differentiated but equal,"Labour, Gender, Economy","Labour, Gender",All codes indicating a pattern of both sexes being equally involved in the amount of labour invested in fishing were lumped.
EA052,4,4,Equal participation,Equal participation,"Labour, Gender, Economy","Labour, Gender",
EA052,5,5,"Both, females more","Both, females more","Labour, Gender, Economy","Labour, Gender",
EA052,6,6,Females alone,Females alone,"Labour, Gender, Economy","Labour, Gender",
EA052,7,NA,Sex irrelevant,Sex irrelevant,"Labour, Gender, Economy","Labour, Gender",Industrial labour dominates. Excluded from analyses.
EA052,8,NA,"Activity present, sex diff. unspecified","Activity present, sex diff. unspecified","Labour, Gender, Economy","Labour, Gender",No specified sex differences. Excluded from analyses.
EA052,9,NA,Activity is absent,Activity is absent,"Labour, Gender, Economy","Labour, Gender",Absence of fishing. Excluded from analyses.
EA053,NA,NA,Missing data,Missing data,"Labour, Gender, Economy","Labour, Gender",Do societies share the patterns of un-industrialized labour division between sexes?
EA053,1,1,Males alone,Males alone,"Labour, Gender, Economy","Labour, Gender",
EA053,2,2,"Both, males more","Both, males more","Labour, Gender, Economy","Labour, Gender",
EA053,3,4,Differentiated but equal,Differentiated but equal,"Labour, Gender, Economy","Labour, Gender",All codes indicating a pattern of both sexes being equally involved in the amount of labour invested in animal husbandry were lumped.
EA053,4,4,Equal participation,Equal participation,"Labour, Gender, Economy","Labour, Gender",
EA053,5,5,"Both, females more","Both, females more","Labour, Gender, Economy","Labour, Gender",
EA053,6,6,Females alone,Females alone,"Labour, Gender, Economy","Labour, Gender",
EA053,7,NA,Sex irrelevant,Sex irrelevant,"Labour, Gender, Economy","Labour, Gender",Industrial labour dominates. Excluded from analyses.
EA053,8,NA,"Activity present, sex diff. unspecified","Activity present, sex diff. unspecified","Labour, Gender, Economy","Labour, Gender",No specified sex differences. Excluded from analyses.
EA053,9,NA,Activity is absent,Activity is absent,"Labour, Gender, Economy","Labour, Gender",Absence of animal husbandry. Excluded from analyses.
EA054,NA,NA,Missing data,Missing data,"Labour, Gender, Economy","Labour, Gender",Do societies share the patterns of un-industrialized labour division between sexes?
EA054,1,1,Males alone,Males alone,"Labour, Gender, Economy","Labour, Gender",
EA054,2,2,"Both, males more","Both, males more","Labour, Gender, Economy","Labour, Gender",
EA054,3,4,Differentiated but equal,Differentiated but equal,"Labour, Gender, Economy","Labour, Gender",All codes indicating a pattern of both sexes being equally involved in the amount of labour invested in agriculture were lumped.
EA054,4,4,Equal participation,Equal participation,"Labour, Gender, Economy","Labour, Gender",
EA054,5,5,"Both, females more","Both, females more","Labour, Gender, Economy","Labour, Gender",
EA054,6,6,Females alone,Females alone,"Labour, Gender, Economy","Labour, Gender",
EA054,7,NA,Sex irrelevant,Sex irrelevant,"Labour, Gender, Economy","Labour, Gender",Industrial labour dominates. Excluded from analyses.
EA054,8,NA,"Activity present, sex diff. unspecified","Activity present, sex diff. unspecified","Labour, Gender, Economy","Labour, Gender",No specified sex differences. Excluded from analyses.
EA054,9,NA,Activity is absent,Activity is absent,"Labour, Gender, Economy","Labour, Gender",Absence of agriculture. Excluded from analyses.
EA055,NA,NA,Missing data,Missing data,"Labour, Economy","Labour, Gender","Do societies share the age categorization for practicing smelting, casting, and forging? "
EA055,1,1,Junior age,Junior age,"Labour, Economy","Labour, Gender",
EA055,2,2,Senior age,Senior age,"Labour, Economy","Labour, Gender",
EA055,3,NA,Craft,Craft,"Labour, Economy","Labour, Gender",No distinction between age groups. Excluded from analyses.
EA055,4,NA,Industrial,Industrial,"Labour, Economy","Labour, Gender",No distinction between age groups. Excluded from analyses.
EA055,9,9,Most adults,Most adults,"Labour, Economy","Labour, Gender",
EA055,10,NA,Activity is absent,Activity is absent,"Labour, Economy","Labour, Gender",No distinction between age groups. Excluded from analyses.
EA056,NA,NA,Missing data,Missing data,"Labour, Economy","Labour, Gender",Do societies share the age categorization for practicing weaving? 
EA056,1,1,Junior age,Junior age,"Labour, Economy","Labour, Gender",
EA056,2,2,Senior age,Senior age,"Labour, Economy","Labour, Gender",
EA056,3,NA,Craft,Craft,"Labour, Economy","Labour, Gender",No distinction between age groups. Excluded from analyses.
EA056,4,NA,Industrial,Industrial,"Labour, Economy","Labour, Gender",No distinction between age groups. Excluded from analyses.
EA056,9,9,Most adults,Most adults,"Labour, Economy","Labour, Gender",
EA056,10,NA,Activity is absent,Activity is absent,"Labour, Economy","Labour, Gender",No distinction between age groups. Excluded from analyses.
EA057,NA,NA,Missing data,Missing data,"Labour, Economy","Labour, Gender",Do societies share the age categorization for practicing leather working? 
EA057,1,1,Junior age,Junior age,"Labour, Economy","Labour, Gender",
EA057,2,2,Senior age,Senior age,"Labour, Economy","Labour, Gender",
EA057,3,NA,Craft,Craft,"Labour, Economy","Labour, Gender",No distinction between age groups. Excluded from analyses.
EA057,4,NA,Industrial,Industrial,"Labour, Economy","Labour, Gender",No distinction between age groups. Excluded from analyses.
EA057,9,9,Most adults,Most adults,"Labour, Economy","Labour, Gender",
EA057,10,NA,Activity is absent,Activity is absent,"Labour, Economy","Labour, Gender",No distinction between age groups. Excluded from analyses.
EA058,NA,NA,Missing data,Missing data,"Labour, Economy","Labour, Gender",Do societies share the age categorization for practicing pottery making? 
EA058,1,1,Junior age,Junior age,"Labour, Economy","Labour, Gender",
EA058,2,2,Senior age,Senior age,"Labour, Economy","Labour, Gender",
EA058,3,NA,Craft,Craft,"Labour, Economy","Labour, Gender",No distinction between age groups. Excluded from analyses.
EA058,4,NA,Industrial,Industrial,"Labour, Economy","Labour, Gender",No distinction between age groups. Excluded from analyses.
EA058,9,9,Most adults,Most adults,"Labour, Economy","Labour, Gender",
EA058,10,NA,Activity is absent,Activity is absent,"Labour, Economy","Labour, Gender",No distinction between age groups. Excluded from analyses.
EA059,NA,NA,Missing data,Missing data,"Labour, Economy","Labour, Gender",Do societies share the age categorization for practicing boat building? 
EA059,1,1,Junior age,Junior age,"Labour, Economy","Labour, Gender",
EA059,2,2,Senior age,Senior age,"Labour, Economy","Labour, Gender",
EA059,3,NA,Craft,Craft,"Labour, Economy","Labour, Gender",No distinction between age groups. Excluded from analyses.
EA059,4,NA,Industrial,Industrial,"Labour, Economy","Labour, Gender",No distinction between age groups. Excluded from analyses.
EA059,9,9,Most adults,Most adults,"Labour, Economy","Labour, Gender",
EA059,10,NA,Activity is absent,Activity is absent,"Labour, Economy","Labour, Gender",No distinction between age groups. Excluded from analyses.
EA060,NA,NA,Missing data,Missing data,"Labour, Economy","Labour, Gender",Do societies share the age categorization for practicing house construction? 
EA060,1,1,Junior age,Junior age,"Labour, Economy","Labour, Gender",
EA060,2,2,Senior age,Senior age,"Labour, Economy","Labour, Gender",
EA060,3,NA,Craft,Craft,"Labour, Economy","Labour, Gender",No distinction between age groups. Excluded from analyses.
EA060,4,NA,Industrial,Industrial,"Labour, Economy","Labour, Gender",No distinction between age groups. Excluded from analyses.
EA060,9,9,Most adults,Most adults,"Labour, Economy","Labour, Gender",
EA060,10,NA,Activity is absent,Activity is absent,"Labour, Economy","Labour, Gender",No distinction between age groups. Excluded from analyses.
EA061,NA,NA,Missing data,Missing data,"Labour, Economy","Labour, Gender",Do societies share the age categorization for practicing gathering? 
EA061,1,1,Junior age,Junior age,"Labour, Economy","Labour, Gender",
EA061,2,2,Senior age,Senior age,"Labour, Economy","Labour, Gender",
EA061,3,NA,Craft,Craft,"Labour, Economy","Labour, Gender",No distinction between age groups. Excluded from analyses.
EA061,4,NA,Industrial,Industrial,"Labour, Economy","Labour, Gender",No distinction between age groups. Excluded from analyses.
EA061,9,9,Most adults,Most adults,"Labour, Economy","Labour, Gender",
EA061,10,NA,Activity is absent,Activity is absent,"Labour, Economy","Labour, Gender",No distinction between age groups. Excluded from analyses.
EA062,NA,NA,Missing data,Missing data,"Labour, Economy","Labour, Gender",Do societies share the age categorization for practicing hunting? 
EA062,1,1,Junior age,Junior age,"Labour, Economy","Labour, Gender",
EA062,2,2,Senior age,Senior age,"Labour, Economy","Labour, Gender",
EA062,3,NA,Craft,Craft,"Labour, Economy","Labour, Gender",No distinction between age groups. Excluded from analyses.
EA062,4,NA,Industrial,Industrial,"Labour, Economy","Labour, Gender",No distinction between age groups. Excluded from analyses.
EA062,9,9,Most adults,Most adults,"Labour, Economy","Labour, Gender",
EA062,10,NA,Activity is absent,Activity is absent,"Labour, Economy","Labour, Gender",No distinction between age groups. Excluded from analyses.
EA063,NA,NA,Missing data,Missing data,"Labour, Economy","Labour, Gender",Do societies share the age categorization for practicing fishing? 
EA063,1,1,Junior age,Junior age,"Labour, Economy","Labour, Gender",
EA063,2,2,Senior age,Senior age,"Labour, Economy","Labour, Gender",
EA063,3,NA,Craft,Craft,"Labour, Economy","Labour, Gender",No distinction between age groups. Excluded from analyses.
EA063,4,NA,Industrial,Industrial,"Labour, Economy","Labour, Gender",No distinction between age groups. Excluded from analyses.
EA063,9,9,Most adults,Most adults,"Labour, Economy","Labour, Gender",
EA063,10,NA,Activity is absent,Activity is absent,"Labour, Economy","Labour, Gender",No distinction between age groups. Excluded from analyses.
EA064,NA,NA,Missing data,Missing data,"Labour, Economy","Labour, Gender",Do societies share the age categorization for practicing animal husbandry? 
EA064,1,1,Junior age,Junior age,"Labour, Economy","Labour, Gender",
EA064,2,2,Senior age,Senior age,"Labour, Economy","Labour, Gender",
EA064,3,NA,Craft,Craft,"Labour, Economy","Labour, Gender",No distinction between age groups. Excluded from analyses.
EA064,4,NA,Industrial,Industrial,"Labour, Economy","Labour, Gender",No distinction between age groups. Excluded from analyses.
EA064,9,9,Most adults,Most adults,"Labour, Economy","Labour, Gender",
EA064,10,NA,Activity is absent,Activity is absent,"Labour, Economy","Labour, Gender",No distinction between age groups. Excluded from analyses.
EA065,NA,NA,Missing data,Missing data,"Labour, Economy","Labour, Gender",Do societies share the age categorization for practicing agriculture? 
EA065,1,1,Junior age,Junior age,"Labour, Economy","Labour, Gender",
EA065,2,2,Senior age,Senior age,"Labour, Economy","Labour, Gender",
EA065,3,NA,Craft,Craft,"Labour, Economy","Labour, Gender",No distinction between age groups. Excluded from analyses.
EA065,4,NA,Industrial,Industrial,"Labour, Economy","Labour, Gender",No distinction between age groups. Excluded from analyses.
EA065,9,9,Most adults,Most adults,"Labour, Economy","Labour, Gender",
EA065,10,NA,Activity is absent,Activity is absent,"Labour, Economy","Labour, Gender",No distinction between age groups. Excluded from analyses.
EA066,NA,NA,Missing data,Missing data,"Politics, Class, Economy",Community organization,Do societies share the class differentiation type?
EA066,1,1,Absence of distinctions,Absence of distinctions,"Politics, Class, Economy",Community organization,"Category left in, code indicating dominance of freemen."
EA066,2,2,Wealth distinctions,Wealth distinctions,"Politics, Class, Economy",Community organization,
EA066,3,3,Elite stratification,Elite stratification,"Politics, Class, Economy",Community organization,
EA066,4,4,Dual stratification,Dual stratification,"Politics, Class, Economy",Community organization,
EA066,5,5,Complex stratification,Complex stratification,"Politics, Class, Economy",Community organization,
EA067,NA,NA,Missing data,Missing data,"Politics, Class, Economy",Community organization,"For the goals of this analysis, redundant to EA066. Excluded from analyses."
EA068,NA,NA,Missing data,Missing data,"Politics, Class, Economy",Community organization,Do societies share the caste differentiation type?
EA068,1,NA,Absence of distinctions,Absence of distinctions,"Politics, Class, Economy",Community organization,Absence of distinctions. Excluded from analyses.
EA068,2,2,Despised occupation groups,Despised occupation groups,"Politics, Class, Economy",Community organization,
EA068,3,3,Ethnic stratification,Ethnic stratification,"Politics, Class, Economy",Community organization,
EA068,4,4,Complex caste stratification,Complex caste stratification,"Politics, Class, Economy",Community organization,
EA069,NA,NA,Missing data,Missing data,"Politics, Class, Economy",Community organization,"For the goals of this analysis, redundant to EA068. Excluded from analyses."
EA070,NA,NA,NA,NA,"Politics, Class, Economy, Labour","Labour, Gender","Presence/absence variable (i.e. only two categories), hence excluded from analyses. "
EA071,NA,NA,NA,NA,"Politics, Class, Economy, Labour","Labour, Gender","Presence/absence variable (i.e. only two categories), hence excluded from analyses. "
EA072,NA,NA,Missing data,Missing data,"Politics, Leadership, Kinship",Community organization,Do societies share the type of nonhereditary political succession?
EA072,1,NA,Patrilineal heir,Patrilineal heir,"Politics, Leadership, Kinship",Community organization,Absemce of nonhereditary succession. Excluded from analyses.
EA072,2,NA,Matrilineal heir,Matrilineal heir,"Politics, Leadership, Kinship",Community organization,Absemce of nonhereditary succession. Excluded from analyses.
EA072,3,3,Nonhered: appointed by auth.,Nonhered: appointed by auth.,"Politics, Leadership, Kinship",Community organization,
EA072,4,4,Nonhered: seniority,Nonhered: seniority,"Politics, Leadership, Kinship",Community organization,
EA072,5,5,Nonhered: influence,Nonhered: influence,"Politics, Leadership, Kinship",Community organization,
EA072,6,6,Nonhered: election,Nonhered: election,"Politics, Leadership, Kinship",Community organization,
EA072,7,7,Nonhered: inf. consensus,Nonhered: inf. consensus,"Politics, Leadership, Kinship",Community organization,
EA072,9,NA,Absence of office,Absence of office,"Politics, Leadership, Kinship",Community organization,Absence of any office resembling that of a local headman. Excluded from analyses.
EA073,NA,NA,Missing data,Missing data,"Politics, Leadership, Kinship",Community organization,Do societies share the type of hereditary political succession?
EA073,1,1,Son,Son,"Politics, Leadership, Kinship",Community organization,Absence of any office resembling that of a local headman. Excluded from analyses.
EA073,2,2,Patrilineal heir,Patrilineal heir,"Politics, Leadership, Kinship",Community organization,
EA073,3,3,Sister's son,Sister's son,"Politics, Leadership, Kinship",Community organization,
EA073,4,4,Matrilineal heir,Matrilineal heir,"Politics, Leadership, Kinship",Community organization,
EA073,5,NA,Nonhereditary,Nonhereditary,"Politics, Leadership, Kinship",Community organization,Absence of herefitary succession. Excluded from analyses.
EA073,9,NA,Absence of office,Absence of office,"Politics, Leadership, Kinship",Community organization,Absence of herefitary succession. Excluded from analyses.
EA074,NA,NA,Missing data,Missing data,"Property, Wealth Transactions, Economy","Property, Economy",Do societies share the inheritance rules for real property (land)?
EA074,1,NA,No inher. of real property,No inher. of real property,"Property, Wealth Transactions, Economy","Property, Economy",Absence of rules for the inheritance of real property. Excluded from analyses.
EA074,2,2,Matrilineal by sister's sons,Matrilineal by sister's sons,"Property, Wealth Transactions, Economy","Property, Economy",
EA074,3,3,Matrilineal by heirs,Matrilineal by heirs,"Property, Wealth Transactions, Economy","Property, Economy",
EA074,4,4,"Children, less for daughters","Children, less for daughters","Property, Wealth Transactions, Economy","Property, Economy",
EA074,5,5,Children,Children,"Property, Wealth Transactions, Economy","Property, Economy",
EA074,6,6,Patrilineal by heirs,Patrilineal by heirs,"Property, Wealth Transactions, Economy","Property, Economy",
EA074,7,7,Patrilineal by sons,Patrilineal by sons,"Property, Wealth Transactions, Economy","Property, Economy",
EA075,NA,NA,Missing data,Missing data,"Property, Wealth Transactions, Economy","Property, Economy",Do societies share the patterns for inheritance distrbution for real property (land)?
EA075,1,1,Equally distributed,Equally distributed,"Property, Wealth Transactions, Economy","Property, Economy",
EA075,2,2,Best qualified,Best qualified,"Property, Wealth Transactions, Economy","Property, Economy",
EA075,3,3,Ultimogeniture,Ultimogeniture,"Property, Wealth Transactions, Economy","Property, Economy",
EA075,4,4,Primogeniture,Primogeniture,"Property, Wealth Transactions, Economy","Property, Economy",
EA075,9,NA,No inher. of real property,No inher. of real property,"Property, Wealth Transactions, Economy","Property, Economy",Absence of rules for the inheritance of real property. Excluded from analyses.
EA076,NA,NA,Missing data,Missing data,"Property, Wealth Transactions, Economy","Property, Economy",Do societies share the inheritance rules for movable property?
EA076,1,NA,No inher. of mov. property,No inher. of mov. property,"Property, Wealth Transactions, Economy","Property, Economy",Absence of  rules for the inheritance of movable property. Excluded from analyses.
EA076,2,2,Matrilineal by sister's sons,Matrilineal by sister's sons,"Property, Wealth Transactions, Economy","Property, Economy",
EA076,3,3,Matrilineal by heirs,Matrilineal by heirs,"Property, Wealth Transactions, Economy","Property, Economy",
EA076,4,4,"Children, less for daughters","Children, less for daughters","Property, Wealth Transactions, Economy","Property, Economy",
EA076,5,5,Children,Children,"Property, Wealth Transactions, Economy","Property, Economy",
EA076,6,6,Patrilineal by heirs,Patrilineal by heirs,"Property, Wealth Transactions, Economy","Property, Economy",
EA076,7,7,Patrilineal by sons,Patrilineal by sons,"Property, Wealth Transactions, Economy","Property, Economy",
EA077,NA,NA,Missing data,Missing data,"Property, Wealth Transactions, Economy","Property, Economy",Do societies share the patterns for inheritance distrbution for movable property?
EA077,1,1,Equally distributed,Equally distributed,"Property, Wealth Transactions, Economy","Property, Economy",
EA077,2,2,Best qualified,Best qualified,"Property, Wealth Transactions, Economy","Property, Economy",
EA077,3,3,Ultimogeniture,Ultimogeniture,"Property, Wealth Transactions, Economy","Property, Economy",
EA077,4,4,Primogeniture,Primogeniture,"Property, Wealth Transactions, Economy","Property, Economy",
EA077,9,NA,No inher. of mov. prope,No inher. of mov. prope,"Property, Wealth Transactions, Economy","Property, Economy",Absence of rules for the inheritance of movable property. Excluded from analyses.
EA078,NA,NA,Missing data,Missing data,"Ritual, Gender, Marriage",Ritual,Do societies share the norms of premarital sexual behavior of girls?
EA078,1,1,Precluded by early marriage,Precluded by early marriage,"Ritual, Gender, Marriage",Ritual,
EA078,2,2,"Prohibited, strongly sanctioned","Prohibited, strongly sanctioned","Ritual, Gender, Marriage",Ritual,
EA078,3,3,Prohibited but weakly sanctioned,Prohibited but weakly sanctioned,"Ritual, Gender, Marriage",Ritual,
EA078,4,4,"Permitted, sanction if pregnancy","Permitted, sanction if pregnancy","Ritual, Gender, Marriage",Ritual,
EA078,5,5,Trial marriage,Trial marriage,"Ritual, Gender, Marriage",Ritual,
EA078,6,6,"Permitted, no sanctions","Permitted, no sanctions","Ritual, Gender, Marriage",Ritual,
EA079,NA,NA,Missing data,Missing data,"Community organization, Housing","Housing, Ecology",Do societies share the attributes (shape) of houses ground plan?
EA079,1,1,Semicircular,Semicircular,"Community organization, Housing","Housing, Ecology",
EA079,2,2,Circular,Circular,"Community organization, Housing","Housing, Ecology",
EA079,3,3,Elliptical,Elliptical,"Community organization, Housing","Housing, Ecology",
EA079,4,4,Polygonal,Polygonal,"Community organization, Housing","Housing, Ecology",
EA079,5,5,Rectangular,Rectangular,"Community organization, Housing","Housing, Ecology",
EA079,6,6,Quadrangular around interior,Quadrangular around interior,"Community organization, Housing","Housing, Ecology",
EA080,NA,NA,Missing data,Missing data,"Community organization, Housing","Housing, Ecology",Do societies share the construction plans (elevation) for the houses floor level?
EA080,1,1,Subterranean,Subterranean,"Community organization, Housing","Housing, Ecology",
EA080,2,2,Floor level with ground,Floor level with ground,"Community organization, Housing","Housing, Ecology",
EA080,3,3,Elevated slightly,Elevated slightly,"Community organization, Housing","Housing, Ecology",
EA080,4,4,Raised substantially,Raised substantially,"Community organization, Housing","Housing, Ecology",
EA081,NA,NA,Missing data,Missing data,"Community organization, Housing, Ecology","Housing, Ecology",Do societies share the main resource/material they use for building walls for the place they live in?
EA081,1,1,"Stone, stucco or brick","Stone, stucco or brick","Community organization, Housing, Ecology","Housing, Ecology",
EA081,2,2,"Plaster, clay or similar","Plaster, clay or similar","Community organization, Housing, Ecology","Housing, Ecology",
EA081,3,3,"Wood, incl. bamboo","Wood, incl. bamboo","Community organization, Housing, Ecology","Housing, Ecology",
EA081,4,4,Bark,Bark,"Community organization, Housing, Ecology","Housing, Ecology",
EA081,5,5,Hides or skins,Hides or skins,"Community organization, Housing, Ecology","Housing, Ecology",
EA081,6,6,Fabric,Fabric,"Community organization, Housing, Ecology","Housing, Ecology",
EA081,7,7,Mats,Mats,"Community organization, Housing, Ecology","Housing, Ecology",
EA081,8,8,"Grass, leaves or thatch","Grass, leaves or thatch","Community organization, Housing, Ecology","Housing, Ecology",
EA081,9,9,"Adobe, clay or brick","Adobe, clay or brick","Community organization, Housing, Ecology","Housing, Ecology",
EA081,10,10,Open walls,Open walls,"Community organization, Housing, Ecology","Housing, Ecology",
