"","var_id","code","description","name"
"301","EA035",6,"Games of physical skill and of strategy present, but not games of chance","Strategy and physical skill"
"302","EA035",7,"Games of chance and of strategy present, but not games of physical skill","Strategy and chance"
"303","EA035",8,"Games of all three types present","All types"
"304","EA036",NA,"Missing data","Missing data"
"305","EA036",1,"No taboo, especially where the husband is expected to have intercourse with his wife as soon as possible after childbirth for the alleged benefit of the child","No taboo"
"306","EA036",2,"Short post-partum taboo, lasting not more than one month","Up to one month"
"307","EA036",3,"Duration of from more than a month to six months","One to six months"
"308","EA036",4,"Duration of from more than six months to one year","Six months to a year"
"309","EA036",5,"Duration of from more than one year to two years","A year to two years"
"310","EA036",6,"Duration of more than two years","More than two years"
"311","EA037",NA,"Missing data","Missing data"
"312","EA037",1,"Absent or not generally practiced","Absent"
"313","EA037",2,"Performed shortly after birth, i.e., within the first two months","Shortly after birth"
"314","EA037",3,"Performed during infancy, i.e., from two months to two years of age","Infancy "
"315","EA037",4,"Performed during early childhood, i.e., from two to five years of age","Early childhood"
"316","EA037",5,"Performed during late childhood, i.e., from six to ten years of age","Late childhood"
"317","EA037",6,"Performed during adolescence, i.e., from eleven to fifteen years of age","Adolescence"
"318","EA037",7,"Performed during early adulthood, i.e., from sixteen to 25 years of age","Early adulthood"
"319","EA037",8,"Performed during maturity, i.e., from 25 to 50 years of age","Maturity"
"320","EA037",9,"Performed in old age, i.e., after 50 years of age","Old age"
"321","EA037",10,"Circumcision customary, but the normal age is unspecified or unclear","Customary, age unclear"
"322","EA038",NA,"Missing data","Missing data"
"323","EA038",1,"Absence of segregation, adolescent boys residing and sleeping in the same dwelling as their mothers and sisters","No segregation"
"324","EA038",2,"Partial segregation, adolescent boys residing or eating with their natal families but sleeping apart from them, e.g., in a special hut or in a cattle shed","Partial"
"325","EA038",3,"Complete segregation, in which adolescent boys go to live as individuals with relatives outside the nuclear family, e.g., with grandparents or with a maternal or paternal uncle","Complete: outside nuclear family"
"326","EA038",4,"Complete segregation, in which adolescent boys go to live as individuals with non-relatives, e.g., as retainers to a chief or as apprentices to specialists","Complete: outside kin"
"327","EA038",5,"Complete segregation, in which boys reside with a group of their own peers, e.g., in bachelor dormitories, military regiments, or age-villages","Complete: own peers"
"328","EA039",NA,"Missing data","Missing data"
"329","EA039",1,"Absent (no plow animals)","Absent"
"330","EA039",2,"Plow cultivation not aboriginal but well established at the period of observation","Not aboriginal but present"
"331","EA039",3,"Animals employed in plow cultivation prior to the contact period","Present"
"332","EA040",NA,"Missing data","Missing data"
"333","EA040",1,"Absence or near absence of domestic animals other than bees, eats, dogs, fowl, guinea pigs, or the like","Absence or near absence"
"334","EA040",2,"Pigs the only domestic animals of consequence","Pigs"
"335","EA040",3,"Sheep and/or goats when larger domestic animals are absent or much less important","Sheep/goats"
"336","EA040",4,"Equine animals, e.g., horses, donkeys","Equine"
"337","EA040",5,"Deer, e.g., reindeer","Deer"
"338","EA040",6,"Camels or other animals of related genera, e.g., alpacas, llamas","Camelids"
"339","EA040",7,"Bovine animals, e.g., cattle, mithun, water buffaloes, yaks","Bovine"
"340","EA041",NA,"Missing data","Missing data"
"341","EA041",1,"Absence or near absence of milking","Absence or near absence"
"342","EA041",2,"Domestic animals milked more often than sporadically","More than sporadically"
"343","EA042",NA,"Missing data for at least one subsistence activity","Missing for at least 1 activity"
"344","EA042",1,"Gathering contributes most","Gathering"
"345","EA042",2,"Fishing contributes most","Fishing"
"346","EA042",3,"Hunting contributes most","Hunting"
"347","EA042",4,"Pastoralism contributes most","Pastoralism"
"348","EA042",5,"Casual agriculture contributes most","Casual agriculture"
"349","EA042",6,"Extensive agriculture contributes most","Extensive agriculture"
"350","EA042",7,"Intensive agriculture contributes most","Intensive agriculture"
"351","EA042",8,"Two or more sources contribute equally","Two or more sources"
"352","EA042",9,"Agriculture contributes most, type unknown","Agriculture, type unknown"
"353","EA043",NA,"Missing data","Missing data"
"354","EA043",1,"Patrilineal (EA017 > 1, EA019 = 1, EA021 = 9)","Patrilineal"
"355","EA043",2,"Duolateral (EA017 > 1, EA019 > 1, EA021 = 9 or EA021 = 0)","Duolateral"
"356","EA043",3,"Matrilineal (EA017 = 1, EA019 > 1, EA021 = 9)","Matrilineal"
"357","EA043",4,"Quasi-lineages (EA017 = 1, EA019 = 1, EA021 = 6)","Quasi-lineages"
"358","EA043",5,"Ambilineal (EA017 = 1, EA019 = 1, EA021 = 3 or EA021 = 4 or EA021 = 5)","Ambilineal"
"359","EA043",6,"Bilateral (EA017 = 1, EA019 = 1, EA021 = 1 or EA021 = 2)","Bilateral"
"360","EA043",7,"Mixed (EA017  and/or EA019 > 1,and EA021 not equal to 9)","Mixed"
"361","EA044",NA,"Missing data","Missing data"
"362","EA044",1,"Males alone perform the activity, female participation being negligible","Males alone"
"363","EA044",2,"Both sexes participate, but males do appreciably more than females","Both, males more"
"364","EA044",3,"Differentiation of specific tasks by sex but approximately equal participation by both sexes in the total activity","Differentiated but equal"
"365","EA044",4,"Equal participation by both sexes without marked or reported differentiation in specific tasks","Equal participation"
"366","EA044",5,"Both sexes participate, but females do appreciably more than males","Both, females more"
"367","EA044",6,"Females alone perform the activity, male participation being negligible","Females alone"
"368","EA044",7,"Sex participation irrelevant, especially where production is industrialized","Sex irrelevant"
"369","EA044",8,"The activity is present, but sex participation is unspecified in the sources consulted","Activity present, sex diff. unspecified"
"370","EA044",9,"The activity is absent or unimportant in the particular society","Activity is absent"
"371","EA045",NA,"Missing data","Missing data"
"372","EA045",1,"Males alone perform the activity, female participation being negligible","Males alone"
"373","EA045",2,"Both sexes participate, but males do appreciably more than females","Both, males more"
"374","EA045",3,"Differentiation of specific tasks by sex but approximately equal participation by both sexes in the total activity","Differentiated but equal"
"375","EA045",4,"Equal participation by both sexes without marked or reported differentiation in specific tasks","Equal participation"
"376","EA045",5,"Both sexes participate, but females do appreciably more than males","Both, females more"
"377","EA045",6,"Females alone perform the activity, male participation being negligible","Females alone"
"378","EA045",7,"Sex participation irrelevant, especially where production is industrialized","Sex irrelevant"
"379","EA045",8,"The activity is present, but sex participation is unspecified in the sources consulted","Activity present, sex diff. unspecified"
"380","EA045",9,"The activity is absent or unimportant in the particular society","Activity is absent"
"381","EA046",NA,"Missing data","Missing data"
"382","EA046",1,"Males alone perform the activity, female participation being negligible","Males alone"
"383","EA046",2,"Both sexes participate, but males do appreciably more than females","Both, males more"
"384","EA046",3,"Differentiation of specific tasks by sex but approximately equal participation by both sexes in the total activity","Differentiated but equal"
"385","EA046",4,"Equal participation by both sexes without marked or reported differentiation in specific tasks","Equal participation"
"386","EA046",5,"Both sexes participate, but females do appreciably more than males","Both, females more"
"387","EA046",6,"Females alone perform the activity, male participation being negligible","Females alone"
"388","EA046",7,"Sex participation irrelevant, especially where production is industrialized","Sex irrelevant"
"389","EA046",8,"The activity is present, but sex participation is unspecified in the sources consulted","Activity present, sex diff. unspecified"
"390","EA046",9,"The activity is absent or unimportant in the particular society","Activity is absent"
"391","EA047",NA,"Missing data","Missing data"
"392","EA047",1,"Males alone perform the activity, female participation being negligible","Males alone"
"393","EA047",2,"Both sexes participate, but males do appreciably more than females","Both, males more"
"394","EA047",3,"Differentiation of specific tasks by sex but approximately equal participation by both sexes in the total activity","Differentiated but equal"
"395","EA047",4,"Equal participation by both sexes without marked or reported differentiation in specific tasks","Equal participation"
"396","EA047",5,"Both sexes participate, but females do appreciably more than males","Both, females more"
"397","EA047",6,"Females alone perform the activity, male participation being negligible","Females alone"
"398","EA047",7,"Sex participation irrelevant, especially where production is industrialized","Sex irrelevant"
"399","EA047",8,"The activity is present, but sex participation is unspecified in the sources consulted","Activity present, sex diff. unspecified"
"400","EA047",9,"The activity is absent or unimportant in the particular society","Activity is absent"
"401","EA048",NA,"Missing data","Missing data"
"402","EA048",1,"Males alone perform the activity, female participation being negligible","Males alone"
"403","EA048",2,"Both sexes participate, but males do appreciably more than females","Both, males more"
"404","EA048",3,"Differentiation of specific tasks by sex but approximately equal participation by both sexes in the total activity","Differentiated but equal"
"405","EA048",4,"Equal participation by both sexes without marked or reported differentiation in specific tasks","Equal participation"
"406","EA048",5,"Both sexes participate, but females do appreciably more than males","Both, females more"
"407","EA048",6,"Females alone perform the activity, male participation being negligible","Females alone"
"408","EA048",7,"Sex participation irrelevant, especially where production is industrialized","Sex irrelevant"
"409","EA048",8,"The activity is present, but sex participation is unspecified in the sources consulted","Activity present, sex diff. unspecified"
"410","EA048",9,"The activity is absent or unimportant in the particular society","Activity is absent"
"411","EA049",NA,"Missing data","Missing data"
"412","EA049",1,"Males alone perform the activity, female participation being negligible","Males alone"
"413","EA049",2,"Both sexes participate, but males do appreciably more than females","Both, males more"
"414","EA049",3,"Differentiation of specific tasks by sex but approximately equal participation by both sexes in the total activity","Differentiated but equal"
"415","EA049",4,"Equal participation by both sexes without marked or reported differentiation in specific tasks","Equal participation"
"416","EA049",5,"Both sexes participate, but females do appreciably more than males","Both, females more"
"417","EA049",6,"Females alone perform the activity, male participation being negligible","Females alone"
"418","EA049",7,"Sex participation irrelevant, especially where production is industrialized","Sex irrelevant"
"419","EA049",8,"The activity is present, but sex participation is unspecified in the sources consulted","Activity present, sex diff. unspecified"
"420","EA049",9,"The activity is absent or unimportant in the particular society","Activity is absent"
"421","EA050",NA,"Missing data","Missing data"
"422","EA050",1,"Males alone perform the activity, female participation being negligible","Males alone"
"423","EA050",2,"Both sexes participate, but males do appreciably more than females","Both, males more"
"424","EA050",3,"Differentiation of specific tasks by sex but approximately equal participation by both sexes in the total activity","Differentiated but equal"
"425","EA050",4,"Equal participation by both sexes without marked or reported differentiation in specific tasks","Equal participation"
"426","EA050",5,"Both sexes participate, but females do appreciably more than males","Both, females more"
"427","EA050",6,"Females alone perform the activity, male participation being negligible","Females alone"
"428","EA050",7,"Sex participation irrelevant, especially where production is industrialized","Sex irrelevant"
"429","EA050",8,"The activity is present, but sex participation is unspecified in the sources consulted","Activity present, sex diff. unspecified"
"430","EA050",9,"The activity is absent or unimportant in the particular society","Activity is absent"
"431","EA051",NA,"Missing data","Missing data"
"432","EA051",1,"Males alone perform the activity, female participation being negligible","Males alone"
"433","EA051",2,"Both sexes participate, but males do appreciably more than females","Both, males more"
"434","EA051",3,"Differentiation of specific tasks by sex but approximately equal participation by both sexes in the total activity","Differentiated but equal"
"435","EA051",4,"Equal participation by both sexes without marked or reported differentiation in specific tasks","Equal participation"
"436","EA051",5,"Both sexes participate, but females do appreciably more than males","Both, females more"
"437","EA051",6,"Females alone perform the activity, male participation being negligible","Females alone"
"438","EA051",7,"Sex participation irrelevant, especially where production is industrialized","Sex irrelevant"
"439","EA051",8,"The activity is present, but sex participation is unspecified in the sources consulted","Activity present, sex diff. unspecified"
"440","EA051",9,"The activity is absent or unimportant in the particular society","Activity is absent"
"441","EA052",NA,"Missing data","Missing data"
"442","EA052",1,"Males alone perform the activity, female participation being negligible","Males alone"
"443","EA052",2,"Both sexes participate, but males do appreciably more than females","Both, males more"
"444","EA052",3,"Differentiation of specific tasks by sex but approximately equal participation by both sexes in the total activity","Differentiated but equal"
"445","EA052",4,"Equal participation by both sexes without marked or reported differentiation in specific tasks","Equal participation"
"446","EA052",5,"Both sexes participate, but females do appreciably more than males","Both, females more"
"447","EA052",6,"Females alone perform the activity, male participation being negligible","Females alone"
"448","EA052",7,"Sex participation irrelevant, especially where production is industrialized","Sex irrelevant"
"449","EA052",8,"The activity is present, but sex participation is unspecified in the sources consulted","Activity present, sex diff. unspecified"
"450","EA052",9,"The activity is absent or unimportant in the particular society","Activity is absent"
"451","EA053",NA,"Missing data","Missing data"
"452","EA053",1,"Males alone perform the activity, female participation being negligible","Males alone"
"453","EA053",2,"Both sexes participate, but males do appreciably more than females","Both, males more"
"454","EA053",3,"Differentiation of specific tasks by sex but approximately equal participation by both sexes in the total activity","Differentiated but equal"
"455","EA053",4,"Equal participation by both sexes without marked or reported differentiation in specific tasks","Equal participation"
"456","EA053",5,"Both sexes participate, but females do appreciably more than males","Both, females more"
"457","EA053",6,"Females alone perform the activity, male participation being negligible","Females alone"
"458","EA053",7,"Sex participation irrelevant, especially where production is industrialized","Sex irrelevant"
"459","EA053",8,"The activity is present, but sex participation is unspecified in the sources consulted","Activity present, sex diff. unspecified"
"460","EA053",9,"The activity is absent or unimportant in the particular society","Activity is absent"
"461","EA054",NA,"Missing data","Missing data"
"462","EA054",1,"Males alone perform the activity, female participation being negligible","Males alone"
"463","EA054",2,"Both sexes participate, but males do appreciably more than females","Both, males more"
"464","EA054",3,"Differentiation of specific tasks by sex but approximately equal participation by both sexes in the total activity","Differentiated but equal"
"465","EA054",4,"Equal participation by both sexes without marked or reported differentiation in specific tasks","Equal participation"
"466","EA054",5,"Both sexes participate, but females do appreciably more than males","Both, females more"
"467","EA054",6,"Females alone perform the activity, male participation being negligible","Females alone"
"468","EA054",7,"Sex participation irrelevant, especially where production is industrialized","Sex irrelevant"
"469","EA054",8,"The activity is present, but sex participation is unspecified in the sources consulted","Activity present, sex diff. unspecified"
"470","EA054",9,"The activity is absent or unimportant in the particular society","Activity is absent"
"471","EA055",NA,"Missing data","Missing data"
"472","EA055",1,"Junior age specialization, i.e., the activity is largely performed by boys and/or girls before the age of puberty","Junior age"
"473","EA055",2,"Senior age specialization, i.e., the activity is largely performed by men and/or women beyond the prime of life","Senior age"
"474","EA055",3,"Craft specialization, i.e., the activity is largely performed by a small minority of adult males or females who possess specialized skills. Occupational castes are treated as instances of craft specialization","Craft"
"475","EA055",4,"Industrial specialization, i.e., the activity is largely removed from the domain of a division of labor by sex, age, or craft specialization and is performed industrialized mainly by techniques of production","Industrial"
"476","EA055",9,"Normally performed by many or most adult men, women, or both","Most adults"
"477","EA055",10,"The activity is absent or unimportant in the particular society","Activity is absent"
"478","EA056",NA,"Missing data","Missing data"
"479","EA056",1,"Junior age specialization, i.e., the activity is largely performed by boys and/or girls before the age of puberty","Junior age"
"480","EA056",2,"Senior age specialization, i.e., the activity is largely performed by men and/or women beyond the prime of life","Senior age"
"481","EA056",3,"Craft specialization, i.e., the activity is largely performed by a small minority of adult males or females who possess specialized skills. Occupational castes are treated as instances of craft specialization","Craft"
"482","EA056",4,"Industrial specialization, i.e., the activity is largely removed from the domain of a division of labor by sex, age, or craft specialization and is performed industrialized mainly by techniques of production","Industrial"
"483","EA056",9,"Normally performed by many or most adult men, women, or both","Most adults"
"484","EA056",10,"The activity is absent or unimportant in the particular society","Activity is absent"
"485","EA057",NA,"Missing data","Missing data"
"486","EA057",1,"Junior age specialization, i.e., the activity is largely performed by boys and/or girls before the age of puberty","Junior age"
"487","EA057",2,"Senior age specialization, i.e., the activity is largely performed by men and/or women beyond the prime of life","Senior age"
"488","EA057",3,"Craft specialization, i.e., the activity is largely performed by a small minority of adult males or females who possess specialized skills. Occupational castes are treated as instances of craft specialization","Craft"
"489","EA057",4,"Industrial specialization, i.e., the activity is largely removed from the domain of a division of labor by sex, age, or craft specialization and is performed industrialized mainly by techniques of production","Industrial"
"490","EA057",9,"Normally performed by many or most adult men, women, or both","Most adults"
"491","EA057",10,"The activity is absent or unimportant in the particular society","Activity is absent"
"492","EA058",NA,"Missing data","Missing data"
"493","EA058",1,"Junior age specialization, i.e., the activity is largely performed by boys and/or girls before the age of puberty","Junior age"
"494","EA058",2,"Senior age specialization, i.e., the activity is largely performed by men and/or women beyond the prime of life","Senior age"
"495","EA058",3,"Craft specialization, i.e., the activity is largely performed by a small minority of adult males or females who possess specialized skills. Occupational castes are treated as instances of craft specialization","Craft"
"496","EA058",4,"Industrial specialization, i.e., the activity is largely removed from the domain of a division of labor by sex, age, or craft specialization and is performed industrialized mainly by techniques of production","Industrial"
"497","EA058",9,"Normally performed by many or most adult men, women, or both","Most adults"
"498","EA058",10,"The activity is absent or unimportant in the particular society","Activity is absent"
"499","EA059",NA,"Missing data","Missing data"
"500","EA059",1,"Junior age specialization, i.e., the activity is largely performed by boys and/or girls before the age of puberty","Junior age"
"501","EA059",2,"Senior age specialization, i.e., the activity is largely performed by men and/or women beyond the prime of life","Senior age"
"502","EA059",3,"Craft specialization, i.e., the activity is largely performed by a small minority of adult males or females who possess specialized skills. Occupational castes are treated as instances of craft specialization","Craft"
"503","EA059",4,"Industrial specialization, i.e., the activity is largely removed from the domain of a division of labor by sex, age, or craft specialization and is performed industrialized mainly by techniques of production","Industrial"
"504","EA059",9,"Normally performed by many or most adult men, women, or both","Most adults"
"505","EA059",10,"The activity is absent or unimportant in the particular society","Activity is absent"
"506","EA060",NA,"Missing data","Missing data"
"507","EA060",1,"Junior age specialization, i.e., the activity is largely performed by boys and/or girls before the age of puberty","Junior age"
"508","EA060",2,"Senior age specialization, i.e., the activity is largely performed by men and/or women beyond the prime of life","Senior age"
"509","EA060",3,"Craft specialization, i.e., the activity is largely performed by a small minority of adult males or females who possess specialized skills. Occupational castes are treated as instances of craft specialization","Craft"
"510","EA060",4,"Industrial specialization, i.e., the activity is largely removed from the domain of a division of labor by sex, age, or craft specialization and is performed industrialized mainly by techniques of production","Industrial"
"511","EA060",9,"Normally performed by many or most adult men, women, or both","Most adults"
"512","EA060",10,"The activity is absent or unimportant in the particular society","Activity is absent"
"513","EA061",NA,"Missing data","Missing data"
"514","EA061",1,"Junior age specialization, i.e., the activity is largely performed by boys and/or girls before the age of puberty","Junior age"
"515","EA061",2,"Senior age specialization, i.e., the activity is largely performed by men and/or women beyond the prime of life","Senior age"
"516","EA061",3,"Craft specialization, i.e., the activity is largely performed by a small minority of adult males or females who possess specialized skills. Occupational castes are treated as instances of craft specialization","Craft"
"517","EA061",4,"Industrial specialization, i.e., the activity is largely removed from the domain of a division of labor by sex, age, or craft specialization and is performed industrialized mainly by techniques of production","Industrial"
"518","EA061",9,"Normally performed by many or most adult men, women, or both","Most adults"
"519","EA061",10,"The activity is absent or unimportant in the particular society","Activity is absent"
"520","EA062",NA,"Missing data","Missing data"
"521","EA062",1,"Junior age specialization, i.e., the activity is largely performed by boys and/or girls before the age of puberty","Junior age"
"522","EA062",2,"Senior age specialization, i.e., the activity is largely performed by men and/or women beyond the prime of life","Senior age"
"523","EA062",3,"Craft specialization, i.e., the activity is largely performed by a small minority of adult males or females who possess specialized skills. Occupational castes are treated as instances of craft specialization","Craft"
"524","EA062",4,"Industrial specialization, i.e., the activity is largely removed from the domain of a division of labor by sex, age, or craft specialization and is performed industrialized mainly by techniques of production","Industrial"
"525","EA062",9,"Normally performed by many or most adult men, women, or both","Most adults"
"526","EA062",10,"The activity is absent or unimportant in the particular society","Activity is absent"
"527","EA063",NA,"Missing data","Missing data"
"528","EA063",1,"Junior age specialization, i.e., the activity is largely performed by boys and/or girls before the age of puberty","Junior age"
"529","EA063",2,"Senior age specialization, i.e., the activity is largely performed by men and/or women beyond the prime of life","Senior age"
"530","EA063",3,"Craft specialization, i.e., the activity is largely performed by a small minority of adult males or females who possess specialized skills. Occupational castes are treated as instances of craft specialization","Craft"
"531","EA063",4,"Industrial specialization, i.e., the activity is largely removed from the domain of a division of labor by sex, age, or craft specialization and is performed industrialized mainly by techniques of production","Industrial"
"532","EA063",9,"Normally performed by many or most adult men, women, or both","Most adults"
"533","EA063",10,"The activity is absent or unimportant in the particular society","Activity is absent"
"534","EA064",NA,"Missing data","Missing data"
"535","EA064",1,"Junior age specialization, i.e., the activity is largely performed by boys and/or girls before the age of puberty","Junior age"
"536","EA064",2,"Senior age specialization, i.e., the activity is largely performed by men and/or women beyond the prime of life","Senior age"
"537","EA064",3,"Craft specialization, i.e., the activity is largely performed by a small minority of adult males or females who possess specialized skills. Occupational castes are treated as instances of craft specialization","Craft"
"538","EA064",4,"Industrial specialization, i.e., the activity is largely removed from the domain of a division of labor by sex, age, or craft specialization and is performed industrialized mainly by techniques of production","Industrial"
"539","EA064",9,"Normally performed by many or most adult men, women, or both","Most adults"
"540","EA064",10,"The activity is absent or unimportant in the particular society","Activity is absent"
"541","EA065",NA,"Missing data","Missing data"
"542","EA065",1,"Junior age specialization, i.e., the activity is largely performed by boys and/or girls before the age of puberty","Junior age"
"543","EA065",2,"Senior age specialization, i.e., the activity is largely performed by men and/or women beyond the prime of life","Senior age"
"544","EA065",3,"Craft specialization, i.e., the activity is largely performed by a small minority of adult males or females who possess specialized skills. Occupational castes are treated as instances of craft specialization","Craft"
"545","EA065",4,"Industrial specialization, i.e., the activity is largely removed from the domain of a division of labor by sex, age, or craft specialization and is performed industrialized mainly by techniques of production","Industrial"
"546","EA065",9,"Normally performed by many or most adult men, women, or both","Most adults"
"547","EA065",10,"The activity is absent or unimportant in the particular society","Activity is absent"
"548","EA066",NA,"Missing data","Missing data"
"549","EA066",1,"Absence of significant class distinctions among freemen (slavery is treated in EA070), ignoring variations in individual repute achieved through skill, valor, piety, or wisdom","Absence of distinctions"
"550","EA066",2,"Wealth distinctions, based on the possession or distribution of property, present and socially important but not crystallized into distinct and hereditary social classes","Wealth distinctions"
"551","EA066",3,"Elite stratification, in which an elite class derives its superior status from, and perpetuates it through, control over scarce resources, particularly land, and is thereby differentiated from a property-less proletariat or serf class","Elite stratification"
"552","EA066",4,"Dual stratification into a hereditary aristocracy and a lower class of ordinary commoners or freemen, where traditionally ascribed noble status is at least as decisive as control over scarce resources","Dual stratification"
"553","EA066",5,"Complex stratification into social classes correlated in large measure with extensive differentiation of occupational statuses","Complex stratification"
"554","EA067",NA,"Missing data","Missing data"
"555","EA067",1,"Absence of significant class distinctions among freemen (slavery is treated in EA070), ignoring variations in individual repute achieved through skill, valor, piety, or wisdom","Absence of distinctions"
"556","EA067",2,"Wealth distinctions, based on the possession or distribution of property, present and socially important but not crystallized into distinct and hereditary social classes","Wealth distinctions"
"557","EA067",3,"Elite stratification, in which an elite class derives its superior status from, and perpetuates it through, control over scarce resources, particularly land, and is thereby differentiated from a property-less proletariat or serf class","Elite stratification"
"558","EA067",4,"Dual stratification into a hereditary aristocracy and a lower class of ordinary commoners or freemen, where traditionally ascribed noble status is at least as decisive as control over scarce resources","Dual stratification"
"559","EA067",5,"Complex stratification into social classes correlated in large measure with extensive differentiation of occupational statuses","Complex stratification"
"560","EA067",9,"No secondary type","No secondary type"
"561","EA068",NA,"Missing data","Missing data"
"562","EA068",1,"Caste distinctions absent or insignificant","Absence of distinctions"
"563","EA068",2,"One or more despised occupational groups, e.g., smiths or leather workers, distinguished from the general population, regarded as outcastes by the latter, and characterized by strict endogamy","Despised occupation groups"
"564","EA068",3,"Ethnic stratification, in which a superordinate caste withholds privileges from and refuses to intermarry with a subordinate caste (or castes) which it stigmatizes as ethnically alien, e.g., as descended from a conquered and culturally inferior indigenous population, from former slaves, or from foreign immigrants of different race and/or culture","Ethnic stratification"
"565","EA068",4,"Complex caste stratification in which occupational differentiation emphasizes hereditary ascription and endogamy to the near exclusion of achievable class statuses","Complex caste stratification"
"566","EA069",NA,"Missing data","Missing data"
"567","EA069",1,"Caste distinctions absent or insignificant","Absence of distinctions"
"568","EA069",2,"One or more despised occupational groups, e.g., smiths or leather workers, distinguished from the general population, regarded as outcastes by the latter, and characterized by strict endogamy","Despised occupation groups"
"569","EA069",3,"Ethnic stratification, in which a superordinate caste withholds privileges from and refuses to intermarry with a subordinate caste (or castes) which it stigmatizes as ethnically alien, e.g., as descended from a conquered and culturally inferior indigenous population, from former slaves, or from foreign immigrants of different race and/or culture","Ethnic stratification"
"570","EA069",4,"Complex caste stratification in which occupational differentiation emphasizes hereditary ascription and endogamy to the near exclusion of achievable class statuses","Complex caste stratification"
"571","EA069",9,"No secondary type","No secondary type"
"572","EA070",NA,"Missing data","Missing data"
"573","EA070",1,"Absence or near absence of slavery","Absence of slavery"
"574","EA070",2,"Incipient or nonhereditary slavery, i.e., where slave status is temporary and not transmitted to the children of slaves","Slavery, nonhereditary"
"575","EA070",3,"Slavery reported but not identified as hereditary or nonhereditary","Slavery, no info on heritability"
"576","EA070",4,"Hereditary slavery present and of at least modest social significance","Slavery, hereditary"
"577","EA071",NA,"Missing data","Missing data"
"578","EA071",1,"Slavery never practiced","Slavery never practiced"
"579","EA071",2,"Slavery present in past, but not currently in existence","Past slavery"
"580","EA071",3,"Slavery present currently and in past","Past and present slavery"
"581","EA072",NA,"Missing data","Missing data"
"582","EA072",1,"Patrilineal heir","Patrilineal heir"
"583","EA072",2,"Matrilineal heir","Matrilineal heir"
"584","EA072",3,"Nonhereditary succession through appointment by some higher authority","Nonhered: appointed by auth."
"585","EA072",4,"Nonhereditary succession on the basis primarily of seniority or age","Nonhered: seniority"
"586","EA072",5,"Nonhereditary succession through influence, e.g., of wealth or social status","Nonhered: influence"
"587","EA072",6,"Nonhereditary succession through election or some other mode of formal consensus","Nonhered: election"
"588","EA072",7,"Nonhereditary succession through informal consensus","Nonhered: inf. consensus"
"589","EA072",9,"Absence of any office resembling that of a local headman","Absence of office"
"590","EA073",NA,"Missing data","Missing data"
"591","EA073",1,"Hereditary succession by a son","Son"
"592","EA073",2,"Hereditary succession by a patrilineal heir who takes precedence over a son","Patrilineal heir"
"593","EA073",3,"Hereditary succession by a sister's son","Sister's son"
"594","EA073",4,"Hereditary succession by a matrilineal heir who takes precedence over a sister's son, e.g., a younger brother","Matrilineal heir"
"595","EA073",5,"Nonhereditary","Nonhereditary"
"596","EA073",9,"Absence of any office resembling that of a local headman","Absence of office"
"597","EA074",NA,"Missing data","Missing data"
"598","EA074",1,"Absence of individual property rights in land or of any rule of inheritance governing the transmission of such rights","No inher. of real property"
"599","EA074",2,"Matrilineal inheritance by a sister's son or sons","Matrilineal by sister's sons"
"600","EA074",3,"Inheritance by matrilineal heirs who take precedence over sisters' sons","Matrilineal by heirs"
"601","EA074",4,"Inheritance by children, but with daughters receiving less than sons","Children, less for daughters"
"602","EA074",5,"Inheritance by children of either sex or both","Children"
"603","EA074",6,"Inheritance by patrilineal heirs who take precedence over sons","Patrilineal by heirs"
"604","EA074",7,"Patrilineal inheritance by a son or sons","Patrilineal by sons"
"605","EA075",NA,"Missing data","Missing data"
"606","EA075",1,"Equal or relatively equal distribution among all members of the category","Equally distributed"
"607","EA075",2,"Exclusive or predominant inheritance by the member of the category adjudged best qualified, either by the deceased or by his surviving relatives","Best qualified"
"608","EA075",3,"Ultimogeniture, i.e., predominant inheritance by the junior member of the category","Ultimogeniture"
"609","EA075",4,"Primogeniture, i.e., predominant inheritance by the senior member of the category","Primogeniture"
"610","EA075",9,"Absence of inheritance of real property","No inher. of real property"
"611","EA076",NA,"Missing data","Missing data"
"612","EA076",1,"Absence of individual rights to movable property or of any rule of inheritance governing the transmission of such rights. This includes the destruction, burial, or giving away of movable property","No inher. of mov. property"
"613","EA076",2,"Matrilineal inheritance by a sister's son or sons","Matrilineal by sister's sons"
"614","EA076",3,"Inheritance by matrilineal heirs who take precedence over sisters' sons","Matrilineal by heirs"
"615","EA076",4,"Inheritance by children, but with daughters receiving less than sons","Children, less for daughters"
"616","EA076",5,"Inheritance by children of either sex or both","Children"
"617","EA076",6,"Inheritance by patrilineal heirs who take precedence over sons","Patrilineal by heirs"
"618","EA076",7,"Patrilineal inheritance by a son or sons","Patrilineal by sons"
"619","EA077",NA,"Missing data","Missing data"
"620","EA077",1,"Equal or relatively equal distribution among all members of the category","Equally distributed"
"621","EA077",2,"Exclusive or predominant inheritance by the member of the category adjudged best qualified, either by the deceased or by his surviving relatives","Best qualified"
"622","EA077",3,"Ultimogeniture, i.e., predominant inheritance by the junior member of the category","Ultimogeniture"
"623","EA077",4,"Primogeniture, i.e., predominant inheritance by the senior member of the category","Primogeniture"
"624","EA077",9,"Absence of inheritance of movable property; includes the destruction, burial, or giving away of movable property","No inher. of mov. property"
"625","EA078",NA,"Missing data","Missing data"
"626","EA078",1,"Premarital sex relations precluded by a very early age of marriage for females","Precluded by early marriage"
